rank,college,city_state,overall,outcome,resources,engagement,environment,right_choice,salary,default_rate,class
93,Scripps College,"Claremont, CA",69.1,24.5,22.4,15.6,6.7,7.6,48000,1,Private
93,Texas A&M University-College Station,"College Station, TX",69.1,30.9,14.6,17.9,5.8,9.03,53000,4.1,Public
93,Trinity College,"Hartford, CT",69.1,26.2,22.2,15.5,5.2,7.12,55000,3.4,Private
96,University of Denver,Denver CO,68.6,27.3,19.8,16.3,5.2,7.61,52000,1.6,Private
96,Kenyon College,Gambier OH,68.6,27.3,22,15.7,3.6,8.91,44000,1.5,Private
98,Bentley University,"Waltham, MA",68.3,29.3,17.3,15.9,5.8,8.51,76000,1.6,Private
99,"University of California., Santa Barbara","Santa Barbara, CA",68.1,30,14,16.5,7.6,8.3,52000,2.4,Public
100,William & Mary,"Williamsburg, VA",68,30.1,17.8,15.6,4.5,8.4,56000,0.9,Public
101,Spelman College,"Atlanta, GA",67.9,28.4,17.8,15.9,5.8,8.98,46000,7.7,Private
102,Connecticut College,"New London, CT",67.8,25.9,22.1,15.4,4.4,7.46,51000,2.1,Private
102,Rhode Island Schaal of Design,"Providence, RI",67.8,26.6,20.6,14.9,5.7,8.94,46000,1,Private
104,Howard University,"Washington, DC",67.5,23.8,21.5,16.2,6.1,7.92,46000,6.1,Private
105,Saint Louis University,"Saint Louis, MO",67.4,25.7,20.7,16.2,4.8,8.14,54000,3.9,Private
105,University crEConnecticut,"Storrs, CT",67.4,27,18,16.5,5.9,7.45,54000,2.2,Public
105,The College of Wooster,Wooster OH,67.4,26.6,19.7,16.4,4.7,7.92,45000,1.2,Private
108,Syracuse University,"Syracuse, NY",67.2,28.5,15.7,17,6,8.51,57000,3.1,Private
109,DePauw University,"Greencastle, IN",67.1,25,21,15.9,5.2,6.85,48000,2.9,Private
110,Gettysburg College,"Gettysburg, PA",61,26.6,21.4,13,3.2,7.9,51000,1.5,Private
111,University of Illinois at Chicago,"Chicago, IL",66.7,24.8,17.7,16,8.1,7.3,51000,2.8,Public
111,Rose-Hulman Institute of Technology,"Terre Haute, IN",66.7,28.9,18.8,15.2,3.9,9.35,79000,0.5,Private
113,Dickinson College,"Carlisle, PA",66.6,27.1,20.6,15.2,3.7,7.13,53000,0.9,Private
113,Brigham Young University-Provo,"Provo, UT",66.6,33.7,12.9,17.9,2.1,9.16,57000,1.1,Private
115,Pitzer College,"Claremont, CA",66.5,22.6,20.2,16.7,7,8.05,45000,1.5,Private
122,University of Minnesota Twin Cities,"Minneapolis, MN",66,28.4,15.5,17,5.1,8.39,48000,2.2,Public
123,Virginia Polytechnic Institute and State University,"Blacksburg, VA",65.8,29.9,14,17.3,4.6,9.09,58000,1.7,Public
